Dim1,Dim2
5.7100587,3.090319
11.855691,3.0227857
4.7507772,5.402653
5.214084,4.6173882
-7.9098287,-3.6589167
8.449347,0.6624965
6.063909,-0.03518868
4.876217,5.1262207
-4.4385676,-0.76512206
7.7574887,2.0751317
8.147672,2.1249936
7.10201,2.909037
9.607943,-1.7719887
-3.3167205,-0.40871072
-10.517613,1.4419616
-6.257063,1.4510734
1.0422978,0.117370985
3.5791576,-0.49236178
10.6584425,1.7491233
9.2251,3.0639453
2.5321975,-2.7892652
-8.018429,2.6944077
-8.594277,3.1055954
4.0472856,3.2452989
-9.514583,1.2247118
-10.081602,1.3145577
-8.919811,2.2975905
-9.584609,3.2702875
-7.8140063,-3.7344239
-3.1468196,0.597464
-6.998032,1.0068072
-7.334322,0.6513286
7.537379,2.3036113
-3.7831821,-0.03352833
-9.182381,3.2918608
-5.366726,-0.6795539
-5.562395,-0.5887749
4.393254,-0.22374713
-0.056345876,0.7188713
5.64602,3.6547775
-1.626882,-3.2119057
-0.97124946,-3.0145423
-0.32828116,-3.4256682
4.7659526,5.2616425
-8.540117,-3.6358254
-2.5515366,0.768807
0.4520232,1.8941585
-1.4031565,0.40921625
-7.1089234,-4.4949727
-7.527939,1.0877123
-4.453774,-1.9994496
-4.241209,-1.7374291
-7.8645434,0.8532495
-0.34186795,0.5009069
-5.4512205,0.39305133
-7.091527,1.8192204
-8.096172,3.0381444
-8.272065,1.0137495
-8.266278,-3.6277652
-7.4524264,-4.318143
-8.093111,-4.5783668
-4.2238455,-0.7096728
-6.5547743,-4.7445583
-8.4255085,0.95493186
-9.845298,2.2165344
-3.5724647,-3.1538332
-4.804387,-1.7206564
-5.026644,-2.2006993
-0.79914826,-2.836855
-7.9163613,-3.9379802
-3.26898,0.19860736
-4.6741743,-1.0747464
-7.5067406,1.5044861
-8.806556,3.292046
-4.3619485,-3.8959556
-5.4955735,-4.447207
-7.2243214,-0.07620926
5.396838,2.741172
-3.3320267,2.7883658
-8.155568,-4.3520327
-4.2661185,-0.8732971
1.3382566,1.9211411
-0.06638377,3.0613387
-0.6862975,2.439065
-6.5264235,-4.8483396
-0.90795094,2.195663
0.45383784,-2.9101863
-7.649173,-3.9548333
-3.3173509,-0.6579466
-1.2176117,3.0280871
-2.4525292,-1.9846709
-10.329765,1.3291587
-3.2618654,-1.9797626
-3.5973039,-2.0159657
-8.179085,-4.6619167
-3.6588495,0.37372765
-7.0879602,1.8403139
-8.959788,3.426679
-0.2657836,-3.599199
-3.3997557,-1.4170221
-0.056529675,-2.9176347
0.83604294,-2.5763571
-7.802964,1.8711829
-9.947261,3.338031
-5.486447,2.766294
4.5745964,4.131001
6.6811767,3.2860932
11.790909,3.032656
-7.536017,-1.3480215
12.74689,0.3157962
-7.6348515,-4.1271677
-6.2047524,-4.921501
-2.7349021,2.9550917
-2.7087677,2.842758
8.6086645,3.674146
-11.012151,2.358864
-8.379328,2.0112364
-11.459796,2.8647094
-2.0158186,1.970521
-6.47132,-4.738191
-6.699904,0.7368592
-7.876779,2.1085463
-8.859982,3.0786836
-7.173415,-3.7480137
-6.0890903,-2.129612
-8.342508,0.15150785
-7.7735333,-3.4287174
-4.594189,-0.9230096
-7.699991,-4.3376994
1.2522168,-3.691241
-0.31323913,-1.9446553
-0.18666545,-3.3336275
1.909795,-2.717834
6.3691883,-0.56268686
-6.4511404,-1.1994023
-4.5118856,-3.5612068
-5.913297,-4.7141013
-9.519706,3.0341864
-4.1051908,-0.07711657
9.904226,1.5545101
-7.59887,-4.5355325
-3.416853,-1.3700479
0.26660946,-0.6214233
-2.8319743,2.0676732
2.6629112,-1.0366356
3.231778,-0.81486386
