Dim1,Dim2
-5.0302367,2.4449086
-8.1390085,4.254534
-0.24328364,5.028037
-5.9815865,0.24159396
-0.4066225,5.105382
-9.681499,0.0444614
-1.6530793,-1.6982504
-0.56283444,5.55401
-9.529248,0.21271446
-1.270049,1.7475418
10.075654,-6.71144
-6.343513,3.89606
-9.335465,0.38986903
-7.0479712,3.600871
-4.900956,1.2252817
-6.4778976,5.9681025
-7.2428617,6.375294
-9.083793,0.20965196
9.880814,-7.682443
13.452648,-8.675136
-7.598728,0.5512125
4.0335927,-0.92511654
-5.1736712,1.9720554
1.1131915,5.0592303
-4.9358034,3.1947386
-8.079766,4.3010526
2.9897065,0.91039246
-7.088899,0.84640217
-3.3798504,4.416305
-1.3121841,0.8778838
-1.1093372,3.261515
-11.148236,4.3670444
-10.311798,1.7125069
5.7542186,1.5249164
-4.0653076,-0.47314486
5.8152103,1.851091
-5.2139425,5.6247196
12.49566,-11.030672
-7.1144595,1.3922921
-4.4065447,3.9501343
0.4615328,2.4072442
-6.9974976,2.4744122
-7.101572,3.7761364
-5.6143527,1.6361786
4.040424,-1.4825593
-6.642626,2.1049027
13.145967,-10.8314705
-6.700277,2.0603528
-7.436167,0.7928384
13.274298,-10.878265
13.478659,-3.3583229
-9.466288,0.06571394
0.34181672,0.97345537
-10.433253,5.8986125
-8.161421,5.1714244
-9.287775,1.371738
-1.4447734,5.1674604
-2.6661496,-13.107204
-2.1058934,5.254567
0.19555306,6.121623
-4.5453944,-2.0466225
10.655716,-10.351185
-4.946998,-0.5362714
7.843881,-7.6724734
13.11189,-6.724376
-11.18325,4.912581
13.170639,-10.14805
10.750165,-11.172005
-3.395086,-0.32068786
5.3578854,1.6334966
-9.360808,0.04738746
3.717705,-0.35825709
-10.433514,3.9982498
-4.7368402,2.8631158
-8.111889,3.9809039
10.147872,-9.286088
-6.698578,3.5276995
-7.8476815,-0.754051
-9.789955,0.21571258
-4.422361,3.6023986
-5.50111,3.5167656
-0.8783279,4.5153484
-7.6295977,6.6092124
-8.8663645,1.0433805
5.670778,1.1190143
10.370658,-10.033999
-4.9713726,4.0987015
-0.6394121,4.521273
3.2259943,0.65055346
-3.242239,1.108527
-11.22764,2.3784614
-5.8657765,-0.64384097
-11.516429,2.1237931
-7.194602,4.657713
3.8318799,-2.1033893
-6.8734,5.0249395
-4.7859735,-0.36621004
0.42111883,5.448009
-1.2493464,4.14389
-4.469376,1.0782665
-6.6405635,-0.9691217
12.043619,-7.589025
12.441007,-7.7076416
6.153712,1.116171
5.501976,1.3366473
0.5764095,1.6985528
6.448374,2.6087813
-7.127003,0.41264898
10.504653,-10.931021
3.982784,0.57516336
13.531022,-9.523552
11.439257,-3.1056645
5.0237784,0.7442591
-11.636049,3.5234997
-9.472959,0.28088576
-5.984514,3.2082977
-3.227759,3.426543
-1.5560406,2.1296792
-6.5793366,4.238507
-7.0437036,1.629862
4.9359603,-1.9866331
8.847989,-8.0079775
-4.2422366,3.732578
-6.764709,0.0047146087
-4.593594,-0.67087287
-6.4347677,4.678388
-6.893926,5.5597205
-6.9025226,6.2922845
-4.664526,1.517629
0.89611584,6.390976
-0.5981711,5.327735
4.646284,2.8624725
2.2381718,1.924045
5.34467,-1.018084
2.9749882,0.49804023
-4.9638076,1.6458306
-7.115797,5.031294
-3.533012,5.241349
-7.145497,-0.74599105
10.819804,-10.046875
-4.5298867,3.32523
0.24615197,5.901852
-11.38714,2.5811014
-9.34175,0.20436968
-7.300933,2.7586718
-11.233041,2.8218846
-7.6223426,3.990494
-9.420853,-0.06405324
-7.2051625,3.9664502
-10.573058,1.6476963
-4.6884866,-0.57648677
-7.669471,5.3494983
-3.9339201,4.1207585
-6.8737726,-0.179721
-6.256707,3.6668885
-10.001136,3.8386278
-10.364737,6.1773853
-6.9070864,6.46543
-7.2921276,6.89652
-0.8820506,0.82440794
-5.659162,4.892358
-0.3987809,5.3858075
-9.533535,0.42533675
-1.2796323,5.6961627
11.470123,-6.9338627
1.0814654,6.0851765
-9.257524,0.6941765
-6.785473,1.4200231
-5.994074,0.013447457
5.524054,0.7545177
-6.7236114,0.033514842
-6.447319,6.523905
-9.471491,0.27951106
-8.875032,3.8207688
-4.6801133,1.6845322
-4.2411537,2.8919353
-5.9928794,4.486732
0.5245195,1.1079209
-5.0450087,-1.4732648
-5.381232,4.3557954
-5.843033,5.594545
-4.1566167,0.09115178
-7.8945527,3.4677172
-5.7449517,4.1269655
-8.911344,1.5170276
-4.7619452,4.404387
-5.5965886,1.4037385
-10.93257,5.7113676
10.619786,-10.109015
-6.112687,4.134184
4.0092826,3.9546964
-11.566456,2.3067615
9.960331,-7.7010655
-7.452696,0.77088624
10.845668,-9.42417
-9.325811,-0.27638912
-5.4049854,4.529642
3.5438612,-0.44172752
-5.572136,1.0875181
-5.971624,-1.3197254
-5.069423,2.631199
7.107464,-0.9200296
4.375386,1.0130811
-9.644514,0.12226355
-6.683224,0.99436235
-10.304109,3.011289
0.12271476,6.328147
-1.4073056,1.0796677
-0.8907305,6.280502
13.016054,-10.546584
-8.122547,3.6423845
4.614152,1.3139441
-11.8264065,3.5243816
-5.6822414,6.232381
-1.7305955,4.7718616
0.1472753,1.5990753
-6.2210174,0.011081462
-4.684484,3.5328114
-8.636398,4.7422104
-9.236048,1.0274292
-7.801469,4.4160566
-3.948539,4.6012487
-7.130628,5.833528
-8.317561,3.217624
-4.803269,-1.138883
-5.191545,2.0618064
-11.833194,2.903084
-7.4736648,6.867807
-11.598618,2.3095658
-7.248518,6.147975
-9.090044,1.4972856
5.5306363,-1.4778416
-8.824188,3.0278463
1.3873974,0.06929138
-6.067746,2.6866329
11.582664,-10.313911
-3.945506,1.0061197
-4.7420278,-1.9026024
10.578286,-9.864627
-9.330035,1.1249665
7.776534,-7.3910236
-11.465836,3.6178699
-0.013243823,6.1929855
-6.2221994,-0.1945287
0.24905664,6.3889947
7.1306777,-9.280149
1.859982,2.8396144
3.752485,-0.8283279
-3.830203,4.817997
8.480922,-3.2736514
9.367556,-7.7390227
12.470398,-11.02386
-11.412051,2.3631206
-10.773276,3.3108275
-5.081673,-2.1095808
-0.4047943,2.4802876
-4.5924993,-2.2654004
7.470316,-7.254059
-1.3343287,2.6283767
-5.1583776,2.5415525
6.4741707,0.4295698
-5.3395653,0.43456832
-11.232951,3.5677042
-7.787198,4.2714605
-7.369507,4.251921
-9.392573,1.3268901
-4.3007426,2.8890228
-11.825514,2.1158786
2.7425947,0.653842
-5.686614,1.4124309
-6.1301517,3.88137
-8.197342,0.493049
-9.511053,0.18134432
-0.14666723,5.400898
0.06554337,5.625595
-2.4731517,4.4020476
-10.469867,3.2151396
0.287838,5.863697
-10.675608,2.0545354
-3.5213175,3.083018
-8.012182,1.658698
0.42566165,3.42206
12.977778,-10.841193
12.407118,-4.0377536
3.2674377,1.0012183
2.0403156,2.3651729
-6.6722174,4.2950263
-6.64659,-0.10280614
-8.003523,3.561407
-11.260569,2.4531486
-4.1610756,3.6329162
3.8408642,0.38364652
-9.563444,0.22362135
9.674023,-6.2275305
-7.2675133,2.6370578
-9.065689,4.2281237
-8.2034,5.143127
-6.0343466,-0.52168256
8.916786,-6.125303
-9.49712,0.17436683
8.57541,-6.0526066
11.494528,-4.2673016
-5.4418902,-0.93307704
-5.0241666,4.227085
-11.125194,2.088724
-6.8576794,0.6309661
-7.0294337,-0.50771254
-8.004034,4.056941
-7.3669405,5.842338
-5.309893,6.6391354
3.0315013,0.26981086
-4.432055,0.0987009
2.0086184,0.68135506
13.822479,-5.433337
-7.9107513,3.4852765
-2.6769907,-1.0635304
11.848133,-7.0035586
4.663571,1.46208
-5.751001,-0.84466934
12.201549,-10.358194
-10.0624695,3.1428382
-11.441389,2.2761474
-5.6320977,4.6167474
-2.849351,1.4767153
0.8391228,5.4931135
-7.355315,4.708844
-6.347473,1.69497
-11.562575,2.7915733
-8.585893,0.3736621
-5.5422125,4.5914536
7.7443137,-7.8677964
4.318935,0.9790505
-7.719639,4.3290477
-8.234358,0.5079344
2.3910522,5.1927667
-8.918782,0.64485705
-11.632467,3.024516
-11.618946,2.8424685
-1.2723973,4.856712
-1.0543114,5.4737434
0.907729,5.7216363
-7.156302,-0.82148296
-6.4226055,4.0644975
-6.411491,0.16214393
6.2063146,1.460897
