Dim1,Dim2
4.850156,4.2353373
4.985421,4.2547574
7.944235,-1.8036958
12.108142,4.5064607
3.1948695,5.9288826
5.3308578,5.049252
-8.184897,-4.7546906
-5.2624044,-0.87239826
7.7627993,-0.6470714
7.5411305,4.8756695
-4.1144066,-3.8434427
6.3899593,0.069728784
-3.3773003,-0.42067832
-0.29173395,3.1026747
-3.6493866,0.0052003264
7.476328,5.625493
7.858835,5.4287963
4.17047,5.132128
6.998851,-1.6840824
10.824874,7.6232004
-4.4570208,-1.4058706
-7.2858953,2.0878627
-6.1290445,1.225272
0.65562963,-1.0680705
-3.0306814,-0.88186866
2.3113973,-6.5620494
12.197785,4.667376
11.787687,1.5479742
-6.760076,3.4865336
-6.8780193,1.1555494
-9.271303,2.3583715
2.640136,6.031634
-5.452106,-0.22390169
-5.363552,0.25182384
-9.142882,2.333077
-9.642954,2.5293531
-8.001945,-4.45109
-2.247023,-4.0806346
-7.632401,-0.45096582
5.4564056,5.476983
-4.9327908,-1.1449862
-8.589797,1.388491
-4.64268,-0.28840786
-6.897411,0.30813575
3.8952186,5.160699
-0.34393826,-5.3344097
-1.1567968,-5.1365027
4.6059346,-0.2374026
3.1373482,6.006229
-8.923546,-4.4129314
-3.9583309,-0.07009397
-2.7383354,-3.2596278
1.041915,2.3677907
-7.0064626,-5.177788
-7.092956,1.3503187
-5.127446,-1.9878246
-3.7438087,-1.4632366
-4.881679,-1.0578626
-6.284347,0.9015529
-0.8757968,-0.8537092
-2.8664868,-0.06168815
-6.599465,1.1668322
-8.90971,1.6429799
-6.8035364,-2.5518076
-8.22822,-4.924087
-1.846791,-2.0426683
-5.114328,-2.105238
-7.3744383,-5.563625
-8.234608,-4.9079647
-4.992891,-1.6989349
-6.78935,-5.3175683
-10.301099,4.332577
-4.0164833,-4.419302
-4.3433414,-0.9260545
-5.3178535,-1.140121
-8.145388,-5.164441
-5.3559346,-1.2548413
-7.3324757,1.4198915
-4.01347,-3.3722434
-6.2124066,-5.282032
4.547338,3.3877335
-8.390606,-4.993902
-5.0309567,-1.8822337
-0.76875114,1.9279513
-6.4575276,-5.6983976
3.393759,-0.32166505
-7.9726515,-5.100546
-2.8746293,-2.0351238
0.30622587,-0.09836251
-3.7770693,-4.300843
-8.471774,3.920262
-7.088956,-4.8319044
-3.9309726,-2.817265
-8.334971,-4.895004
-3.1061788,-0.59930104
-7.6831446,1.5776714
-8.671125,2.193228
-1.9001058,-3.2910142
-1.3521425,-3.771582
-3.4767551,-2.1314945
-2.0577338,-4.6922503
3.7694294,-0.97938704
-7.724088,1.8335253
-9.462272,2.7784228
-5.7373276,1.8169599
3.7233713,4.6326284
5.5748057,4.8267612
12.412545,5.0181136
11.332855,1.7413436
-8.206043,-4.797188
-3.8498726,-1.1948605
-5.880911,1.4201545
-6.27945,-5.6000204
-1.4415848,1.8172529
-1.2961111,2.2682312
-1.3886981,1.916652
-9.939432,4.0389514
-8.306637,2.980084
-10.259555,4.270131
-1.3496749,1.5972395
-6.9417014,-5.328908
8.076945,-2.1591337
1.4427689,3.262568
-8.820778,0.8491275
-7.3949914,1.9417592
-8.735966,1.9845957
-5.0366673,-4.0507045
-5.0758038,-2.070752
6.833314,5.8470697
-8.43006,1.9389248
-3.9866383,-4.454065
-8.117147,-4.379859
-4.096991,-1.6756727
-1.9567021,1.8600339
1.0969661,-3.7326198
-1.3121485,-2.9025054
-0.57454276,-4.3104744
-6.749325,-1.4037
-7.1328707,-1.5072874
-7.856209,-0.47186175
-2.900322,-2.9417236
-6.2415166,-5.64813
-9.93516,2.6729145
1.4673505,-6.209697
1.2577544,-6.1033134
10.458271,4.1604486
-7.7429433,-5.488936
-3.5566332,-1.8573947
1.2975367,-5.9613576
1.7311636,-6.243289
-8.170697,-5.1311736
4.8910103,0.4633721
-4.805431,-0.81476796
-5.2769914,-1.8883945
-5.582207,-1.6310905
-0.39783755,-4.4965324
-5.254441,1.108542
-3.260769,-4.319982
-4.1154695,-3.6215048
-6.954096,-5.5871997
-0.5022028,-4.3915277
-0.33759016,-4.377093
-1.6170478,-3.955001
-1.6342393,-3.538286
-1.9519769,-4.0898204
4.881663,4.3918486
6.1444187,-2.3084245
1.8133328,0.45693058
1.5456969,0.6837663
1.9287469,0.047513474
2.644467,0.11182304
2.6069732,0.21759105
-2.27154,-3.7646806
4.2493668,4.970969
7.3003263,-4.6181517
-3.9834754,-2.4240553
-8.066981,-4.27059
-6.9887304,-1.1711874
-8.798855,0.66983825
-1.4231702,-3.462985
-4.087647,-2.1856108
-5.5219026,-1.4988877
-8.056702,1.961446
-6.1018806,0.30963388
-3.4762313,-1.6717145
-3.6252184,0.69261736
6.6817303,-3.57606
6.680512,-3.760186
4.0512953,4.6797876
-6.8621383,-1.1150163
7.346645,-4.554755
7.2432723,-4.126616
-1.420225,-2.5879216
-8.230695,3.321643
-8.516328,5.934166
-8.925836,4.1684084
3.578191,4.9394813
-8.261082,5.197692
-0.48365617,-3.5939999
-4.2218847,-2.8141658
-0.5912077,-3.6270592
-6.6544304,-5.164406
-4.1430397,-1.6964053
-4.970152,-0.98324645
-7.5033073,0.77960664
-9.023233,1.8410959
-6.967866,1.3242064
-8.642455,4.815402
-6.2183695,-0.48777404
-6.309055,-4.9908223
-2.882092,-3.159809
0.61804837,0.031385817
0.64722836,0.22105266
13.702157,4.413766
5.3113923,4.602292
-8.380885,3.6258383
7.874849,5.31631
8.34048,5.3523483
2.2945487,2.358842
-2.8305392,-0.1235672
-0.3180124,-4.317557
-6.822302,-5.182086
5.154979,3.4025984
1.4194248,0.17284201
-0.114148125,1.9382318
6.077904,0.81534314
1.5015459,-0.47402465
8.169005,-3.331634
1.7816696,-0.37314802
1.9889674,-0.22086114
1.33048,-0.28684863
1.7093269,-0.4486025
1.74803,0.06209574
1.9004234,0.33729956
1.8955804,2.1471226
7.8901014,3.9059126
6.871544,4.334576
9.443199,2.6003237
8.767115,-1.6499089
5.7715073,5.415251
5.349935,4.65858
9.159819,-1.8517061
8.693352,-1.6004424
12.219287,4.696041
-6.6825256,-1.5413306
7.265034,-2.608288
7.2767987,-3.5309181
-9.777951,4.623114
8.271285,-1.1585923
8.709736,-2.0597045
12.402775,4.3598714
3.0394442,-1.0028629
8.719104,-2.3936775
-0.28697583,1.5882019
0.113501176,1.711832
